,Text,Text1,giải_trí,lưu_trú,nhà_hàng,ăn_uống,di_chuyển,mua_sắm,Label1,Pair,Count,Label
10,"bãi đá trứng có những viên đá hình_tròn hoặc bầu_dục giống trứng khủng_long trong thời cổ_đại . nơi đây rất phù_hợp cho các tín_đồ mê tự sướng kỷ_niệm . bãi đá khá nhỏ , nhưng cũng đáng để bạn trải_nghiệm khi đến quy nhơn . lối vào bãi trứng mát_mẻ và còn hoang_sơ . 2 bên đường rợp bóng cây và có các quán cafe để bạn dừng chân nghỉ_ngơi thư_giãn . tới đây bạn có_thể gửi xe và đi bộ tham_quan các địa_điểm liền kề như hòn chồng , đền thờ hàn mặc tử , bãi hoàng_hậu ...",giải_trí,5,0,0,0,0,0,relate,"bãi đá trứng có những viên đá hình_tròn hoặc bầu_dục giống trứng khủng_long trong thời cổ_đại . nơi đây rất phù_hợp cho các tín_đồ mê tự sướng kỷ_niệm . bãi đá khá nhỏ , nhưng cũng đáng để bạn trải_nghiệm khi đến quy nhơn . lối vào bãi trứng mát_mẻ và còn hoang_sơ . 2 bên đường rợp bóng cây và có các quán cafe để bạn dừng chân nghỉ_ngơi thư_giãn . tới đây bạn có_thể gửi xe và đi bộ tham_quan các địa_điểm liền kề như hòn chồng , đền thờ hàn mặc tử , bãi hoàng_hậu ... giải_trí",101,5
11,"điểm mua_sắm quà lưu_niệm lý_tưởng , đầy_đủ hàng_hoá của các làng_nghề truyền_thống của vùng quê đất võ tây_sơn , bình_định . nơi đây là điểm cung_ứng hàng_hoá của người nông_dân nên giá cũng rất bình_dân . hãy đến đây khi đến với bình_định , vì không muốn khi về quên mang theo món đặc_sản truyền_thống , tinh_hoa của đất võ tây_sơn",mua_sắm,0,0,0,0,0,5,relate,"điểm mua_sắm quà lưu_niệm lý_tưởng , đầy_đủ hàng_hoá của các làng_nghề truyền_thống của vùng quê đất võ tây_sơn , bình_định . nơi đây là điểm cung_ứng hàng_hoá của người nông_dân nên giá cũng rất bình_dân . hãy đến đây khi đến với bình_định , vì không muốn khi về quên mang theo món đặc_sản truyền_thống , tinh_hoa của đất võ tây_sơn mua_sắm",64,5
12,xe báo chạy 18h tối nhưng cuối_cùng tới 18h30 mới xuất_phát . và theo lịch thì 5h sáng hôm sau thì tận 5h30 người trong đoàn báo lại vẫn còn cách quy nhơn giá tiền_sự việc khiên cho đoàn chúng_tôi xém bị trễ công_việc .,di_chuyển,0,0,0,0,3,0,relate,xe báo chạy 18h tối nhưng cuối_cùng tới 18h30 mới xuất_phát . và theo lịch thì 5h sáng hôm sau thì tận 5h30 người trong đoàn báo lại vẫn còn cách quy nhơn giá tiền_sự việc khiên cho đoàn chúng_tôi xém bị trễ công_việc . di_chuyển,47,3
13,"quán chắc làm_việc với lê_tân_flc để đưa_đón miễn_phí . nhưng đồ_ăn thì cơ_bản đắt và không tươi . lúc hỏi nhân_viên mực tươi không thì nhân_viên nói tươi , nhưng lúc mang ra thì mực không tươi và cảm_nhận đc ngay là đồ đông_lạnh . hàu nướng mỡ hành thì quá dở , 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa_hè . khuyến_nghị du_khách không nên đến quán này .",ăn_uống,0,0,0,1,5,0,relate,"quán chắc làm_việc với lê_tân_flc để đưa_đón miễn_phí . nhưng đồ_ăn thì cơ_bản đắt và không tươi . lúc hỏi nhân_viên mực tươi không thì nhân_viên nói tươi , nhưng lúc mang ra thì mực không tươi và cảm_nhận đc ngay là đồ đông_lạnh . hàu nướng mỡ hành thì quá dở , 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa_hè . khuyến_nghị du_khách không nên đến quán này . ăn_uống",80,1
14,"quán chắc làm_việc với lê_tân_flc để đưa_đón miễn_phí . nhưng đồ_ăn thì cơ_bản đắt và không tươi . lúc hỏi nhân_viên mực tươi không thì nhân_viên nói tươi , nhưng lúc mang ra thì mực không tươi và cảm_nhận đc ngay là đồ đông_lạnh . hàu nướng mỡ hành thì quá dở , 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa_hè . khuyến_nghị du_khách không nên đến quán này .",di_chuyển,0,0,0,1,5,0,relate,"quán chắc làm_việc với lê_tân_flc để đưa_đón miễn_phí . nhưng đồ_ăn thì cơ_bản đắt và không tươi . lúc hỏi nhân_viên mực tươi không thì nhân_viên nói tươi , nhưng lúc mang ra thì mực không tươi và cảm_nhận đc ngay là đồ đông_lạnh . hàu nướng mỡ hành thì quá dở , 1 vỏ mà có tới 2 con hàu và không bằng quán vỉa_hè . khuyến_nghị du_khách không nên đến quán này . di_chuyển",80,5
15,"hải_sản ở quy nhơn vốn đã khá tươi và nhiều loại lạ đa_dạng rồi . quán khá lớn , rộng_rãi và thoáng_đãng . nhân_viên phục_vụ lịch_sự , lễ_phép nhưng hơi chậm_chạp . nhà mình đi ăn có 1 lô_lốc lít_nhít trẻ_con không ăn_nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi_là lâu . đến khi mâm người_lớn phải ăn_nhậu được nửa bữa rồi mới thấy mâm trẻ_con được vào ăn . đồ_ăn mặt_bằng chung chế_biến ổn , có món ăn rất lạ_miệng .",ăn_uống,0,0,0,4,0,0,relate,"hải_sản ở quy nhơn vốn đã khá tươi và nhiều loại lạ đa_dạng rồi . quán khá lớn , rộng_rãi và thoáng_đãng . nhân_viên phục_vụ lịch_sự , lễ_phép nhưng hơi chậm_chạp . nhà mình đi ăn có 1 lô_lốc lít_nhít trẻ_con không ăn_nhậu được nên phải gọi cơm thịt trứng canh cho tụi nhỉ ăn riêng mà phải chờ lâu ơi_là lâu . đến khi mâm người_lớn phải ăn_nhậu được nửa bữa rồi mới thấy mâm trẻ_con được vào ăn . đồ_ăn mặt_bằng chung chế_biến ổn , có món ăn rất lạ_miệng . ăn_uống",99,4
16,"phòng có giường lớn , êm_đẹp , sạch_sẽ , ... lễ_tân is the best . bufet ngon , thanh_đạm . không_gian sảnh sang chảnh tha_hồ checkhông in . cảm_ơn phương linh đã giúp tụi mình tìm 1 căn phòng vừa_ý . nếu có dịp mình sẽ chọn căn pano .",lưu_trú,0,5,0,0,0,0,relate,"phòng có giường lớn , êm_đẹp , sạch_sẽ , ... lễ_tân is the best . bufet ngon , thanh_đạm . không_gian sảnh sang chảnh tha_hồ checkhông in . cảm_ơn phương linh đã giúp tụi mình tìm 1 căn phòng vừa_ý . nếu có dịp mình sẽ chọn căn pano . lưu_trú",54,5
17,"đã thuê xe tại đây ! xe đời_mới chạy rất êm và không có vấn_đề trục_trặc . nhóm mình thuê tận 4 ngày , đi chinh_chiến tận cả các điểm du_lịch như eo gió , kỳ co , flc , hầm hô , tháp bánh_ít , nhà_thờ lòng_sông , hoa vàng cỏ xanh ở phú_yên nữa mà chẳng gặp bất_cứ trục_trặc gì . anh chủ cho thuê xe cũng rất tận_tình và thân_thiện . tư_vấn cho mình rất nhiều món ăn ngon và địa_điểm mua đặc_sản giá rẻ mua về làm_quà ! các bạn nên thuê xe_máy tại 27a hoàng hoa thám khi đến quy nhơn du_lịch nhé , thoải_mái vi_vu yên_tâm cực_kỳ luôn",di_chuyển,0,0,0,0,5,0,relate,"đã thuê xe tại đây ! xe đời_mới chạy rất êm và không có vấn_đề trục_trặc . nhóm mình thuê tận 4 ngày , đi chinh_chiến tận cả các điểm du_lịch như eo gió , kỳ co , flc , hầm hô , tháp bánh_ít , nhà_thờ lòng_sông , hoa vàng cỏ xanh ở phú_yên nữa mà chẳng gặp bất_cứ trục_trặc gì . anh chủ cho thuê xe cũng rất tận_tình và thân_thiện . tư_vấn cho mình rất nhiều món ăn ngon và địa_điểm mua đặc_sản giá rẻ mua về làm_quà ! các bạn nên thuê xe_máy tại 27a hoàng hoa thám khi đến quy nhơn du_lịch nhé , thoải_mái vi_vu yên_tâm cực_kỳ luôn di_chuyển",121,5
18,có một chuyến đi vào tối thứ_sáu thông_qua giao_thông rất nặng vào giờ cao_điểm .,di_chuyển,0,0,0,0,1,0,relate,có một chuyến đi vào tối thứ_sáu thông_qua giao_thông rất nặng vào giờ cao_điểm . di_chuyển,16,1
19,"hiện_tại đã tu_sửa xong , tuy_nhiên loại_hình nghệ_thuật này phổ_biến ở vùng nông_thôn bình_định hơn là thành_phố , đáng buồn là người_dân thành_phố chưa có sự quan_tâm đúng_mức đến loại_hình nghệ_thuật đặc_sắc này",giải_trí,4,0,0,0,0,0,relate,"hiện_tại đã tu_sửa xong , tuy_nhiên loại_hình nghệ_thuật này phổ_biến ở vùng nông_thôn bình_định hơn là thành_phố , đáng buồn là người_dân thành_phố chưa có sự quan_tâm đúng_mức đến loại_hình nghệ_thuật đặc_sắc này giải_trí",34,4
20,"anh_chị chủ xe nhiệt_tình , vui_vẻ , hỗ_trợ khách nhanh và chu_đáo . giao xe và lấy xe tận nơi . xe mới , đẹp như xe gia_đình chứ không phải đang đi xe thuê . nếu có dịp ra quy nhơn mình sẽ tiếp_tục ủng_hộ .",di_chuyển,0,0,0,0,5,0,relate,"anh_chị chủ xe nhiệt_tình , vui_vẻ , hỗ_trợ khách nhanh và chu_đáo . giao xe và lấy xe tận nơi . xe mới , đẹp như xe gia_đình chứ không phải đang đi xe thuê . nếu có dịp ra quy nhơn mình sẽ tiếp_tục ủng_hộ . di_chuyển",49,5
21,"phải nói xe này là tồi_tệ nhất trước giờ đi . ai mà đi về đà_nẵng không nên đi nhé . nó thả cách thành_phố 15 giá tiền phải tốn giá tiền tiền xe về tới nhà . trong khi đặt đã nói về tới_bến xe . còn ô phụ xe thì thôi mặt lúc_nào cũng nhăn khách này_nọ . không cho nổi chai nước suối , cái khăn lạnh nữa . đúng xe dỏm",di_chuyển,0,0,0,0,1,0,relate,"phải nói xe này là tồi_tệ nhất trước giờ đi . ai mà đi về đà_nẵng không nên đi nhé . nó thả cách thành_phố 15 giá tiền phải tốn giá tiền tiền xe về tới nhà . trong khi đặt đã nói về tới_bến xe . còn ô phụ xe thì thôi mặt lúc_nào cũng nhăn khách này_nọ . không cho nổi chai nước suối , cái khăn lạnh nữa . đúng xe dỏm di_chuyển",78,1
22,sáng nay mình ghé cửa_hàng cứ nghĩ cửa_hàng có mấy hệ_thống có thương_hiệu khá thấy vọng khi mua đồ tại cửa_hàng phục_vụ kém thái_độ ra_mặt mọi người cẩn_thận vô phải mua chứ không mua coi_chừng bị chưởi nha nói_chung đồ không đẹp mà thái_độ phục_vụ còn tệ hơn,mua_sắm,0,0,0,0,0,1,relate,sáng nay mình ghé cửa_hàng cứ nghĩ cửa_hàng có mấy hệ_thống có thương_hiệu khá thấy vọng khi mua đồ tại cửa_hàng phục_vụ kém thái_độ ra_mặt mọi người cẩn_thận vô phải mua chứ không mua coi_chừng bị chưởi nha nói_chung đồ không đẹp mà thái_độ phục_vụ còn tệ hơn mua_sắm,50,1
23,"sau một tuần làm_việc mệt_mỏi chắc_hẳn ai cũng muốn được nghỉ_ngơi , hekca sẽ là nơi tuyệt_vời vào ngày cuối tuần để bạn tụ_tập tám dóc với bạn_bè . view đẹp , không_gian yên_tĩnh , nhân_viên nhiệt_tình vui_vẻ . nơi đây sẽ không làm_bạn thất_vọng đặc_biệt là nước . phải nói là rất ngon giá_cả cũng không quá cao phù_hợp với mọi người . hôm_nay tôi nhâm_nhi thử món trà sữa chese thêm trân_châu trắng và sữa_tươi hekca trân_châu đường đen . trân_châu ở này rất ngon không như những quán khác mà tôi từng đi . chắc đến đây miết quá",ăn_uống,0,0,0,5,0,0,relate,"sau một tuần làm_việc mệt_mỏi chắc_hẳn ai cũng muốn được nghỉ_ngơi , hekca sẽ là nơi tuyệt_vời vào ngày cuối tuần để bạn tụ_tập tám dóc với bạn_bè . view đẹp , không_gian yên_tĩnh , nhân_viên nhiệt_tình vui_vẻ . nơi đây sẽ không làm_bạn thất_vọng đặc_biệt là nước . phải nói là rất ngon giá_cả cũng không quá cao phù_hợp với mọi người . hôm_nay tôi nhâm_nhi thử món trà sữa chese thêm trân_châu trắng và sữa_tươi hekca trân_châu đường đen . trân_châu ở này rất ngon không như những quán khác mà tôi từng đi . chắc đến đây miết quá ăn_uống",109,5
24,"gần biển , gần chỗ ăn uống.nhân viên dễ_thương",lưu_trú,0,4,0,0,0,0,relate,"gần biển , gần chỗ ăn uống.nhân viên dễ_thương lưu_trú",12,4
25,trải_nghiệm mua_sắm tại chợ là tuyệt vời.hay nan lại vài giây để có một trái nghiệm thú_vị .,mua_sắm,0,0,0,0,0,5,relate,trải_nghiệm mua_sắm tại chợ là tuyệt vời.hay nan lại vài giây để có một trái nghiệm thú_vị . mua_sắm,22,5
26,đăng_ký thuê xe tự lái quy nhơn 2 xe 7 chỗ giao xe tại sân_bay phù_cát rất đúng giờ . nhiệt_tình tư_vấn các điểm ăn ngon giá rẻ,di_chuyển,0,0,0,0,4,0,relate,đăng_ký thuê xe tự lái quy nhơn 2 xe 7 chỗ giao xe tại sân_bay phù_cát rất đúng giờ . nhiệt_tình tư_vấn các điểm ăn ngon giá rẻ di_chuyển,31,4
27,"mát_mẻ , nhìn cũng được , nhưng không có gì đặc_sắc cho lắm.tới tham_quan , chụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong .",giải_trí,4,0,0,0,0,0,relate,"mát_mẻ , nhìn cũng được , nhưng không có gì đặc_sắc cho lắm.tới tham_quan , chụp vài tấm ảnh rồi ghé quán cafe uống ly nước view biển là xong . giải_trí",35,4
28,"ăn no , món ăn ngon , gia_đình mình ăn xong cả bàn ngổn_ngang đĩa niêu vì mỗi đĩa rất ít . cơm và cá ngon , canh hơi chua quá , tôm bình_thường , kho quẹt bình_thường , rau thập_cẩm trình_bày mất thẩm_mỹ . điểm trừ là phục_vụ kém , ra đồ chậm , không biết gợi_ý cho khách , không miêu_tả đc độ ít của đồ_ăn . nước_ngọt và bia cũng phải gọi mấy lần mới có",ăn_uống,0,0,0,2,0,0,relate,"ăn no , món ăn ngon , gia_đình mình ăn xong cả bàn ngổn_ngang đĩa niêu vì mỗi đĩa rất ít . cơm và cá ngon , canh hơi chua quá , tôm bình_thường , kho quẹt bình_thường , rau thập_cẩm trình_bày mất thẩm_mỹ . điểm trừ là phục_vụ kém , ra đồ chậm , không biết gợi_ý cho khách , không miêu_tả đc độ ít của đồ_ăn . nước_ngọt và bia cũng phải gọi mấy lần mới có ăn_uống",80,2
29,nhà_sách nay bị thu_hẹp đi rất nhiều so với trước vì bên cạnh là của hàng xe_máy yamaha mở_rộng cửa_hàng thuê phần đất của nhà_sách . nên vì_thế nhà_sách bán đồ cũng ít hơn trước . không còn đông vui_nhộn nhiệp tấp_nập như trước_đây,mua_sắm,0,0,0,0,0,3,relate,nhà_sách nay bị thu_hẹp đi rất nhiều so với trước vì bên cạnh là của hàng xe_máy yamaha mở_rộng cửa_hàng thuê phần đất của nhà_sách . nên vì_thế nhà_sách bán đồ cũng ít hơn trước . không còn đông vui_nhộn nhiệp tấp_nập như trước_đây mua_sắm,48,3
30,"khách du_lịch có nhu_cầu thuê xe_máy liên_hệ địa_chỉ này nha , ông_bà chủ cực_kỳ dễ_thương lại nhiệt_tình . giá thuê xe thì khỏi bàn , siêu iu luôn nà",di_chuyển,0,0,0,0,4,0,relate,"khách du_lịch có nhu_cầu thuê xe_máy liên_hệ địa_chỉ này nha , ông_bà chủ cực_kỳ dễ_thương lại nhiệt_tình . giá thuê xe thì khỏi bàn , siêu iu luôn nà di_chuyển",30,4
31,"mình thuê 5 xe chạy từ quy nhơn đến các địa_điểm du_lịch ở tuy_hoà phú_yên . đây là cung đường đẹp nhất miền trung , vắng_vẻ , ít xe và đường rất dễ đi . nếu đã quyết đi phượt miền trung thì nhất_định phải chạy cung đường này . ngoài vẽ đẹp thiên_nhiên thì chúng_ta có_thể ghé các khu nhà nuôi tôm để ăn hải_sản hoặc vào đầm ô_loan , có_thể ghé các địa_điểm du_lịch khác như ghềnh đá đĩa , hoa vàng cỏ xanh , mũi điện ... xe thuê ở đây chạy rất tốt , êm dường_như được bảo_dưỡng rất kĩ . ngoài chuẩn_bị mũ_bảo_hiểm và áo_mưa , xe còn được trang_bị đầy_đủ 2 gương và bạn chủ còn đi photo giấy_tờ xe công_chứng để bọn mình bọc đi đường , rất chu_đáo và nhiệt_tình . chuyến đi kết_thúc an_toàn và vui_vẻ , không gặp bất_cứ sự_cố gì , lần sau có dịp ghé quy nhơn nhất_định sẽ quay lại đây để thuê xe_máy . cảm_ơn và hẹn gặp lại",di_chuyển,0,0,0,0,5,0,relate,"mình thuê 5 xe chạy từ quy nhơn đến các địa_điểm du_lịch ở tuy_hoà phú_yên . đây là cung đường đẹp nhất miền trung , vắng_vẻ , ít xe và đường rất dễ đi . nếu đã quyết đi phượt miền trung thì nhất_định phải chạy cung đường này . ngoài vẽ đẹp thiên_nhiên thì chúng_ta có_thể ghé các khu nhà nuôi tôm để ăn hải_sản hoặc vào đầm ô_loan , có_thể ghé các địa_điểm du_lịch khác như ghềnh đá đĩa , hoa vàng cỏ xanh , mũi điện ... xe thuê ở đây chạy rất tốt , êm dường_như được bảo_dưỡng rất kĩ . ngoài chuẩn_bị mũ_bảo_hiểm và áo_mưa , xe còn được trang_bị đầy_đủ 2 gương và bạn chủ còn đi photo giấy_tờ xe công_chứng để bọn mình bọc đi đường , rất chu_đáo và nhiệt_tình . chuyến đi kết_thúc an_toàn và vui_vẻ , không gặp bất_cứ sự_cố gì , lần sau có dịp ghé quy nhơn nhất_định sẽ quay lại đây để thuê xe_máy . cảm_ơn và hẹn gặp lại di_chuyển",179,5
